,COUNTY_STATE,Year,MONTH,Precipitation (Inches),Maximum temperature (F),Minimum temperature (F),Unnamed: 0,State,County,Corn Yield,Wheat Yield,Soybean Yield
0,"ADAMS, ILLINOIS",2001,August,2.67,85.3225806451613,64.3225806451613,14848,ILLINOIS,ADAMS,152.0,59.0,44.0
1,"ADAMS, ILLINOIS",2001,July,1.96,87.2258064516129,68.2258064516129,14848,ILLINOIS,ADAMS,152.0,59.0,44.0
2,"ADAMS, ILLINOIS",2001,June,4.65,80.03333333333333,61.1,14848,ILLINOIS,ADAMS,152.0,59.0,44.0
3,"ADAMS, ILLINOIS",2001,May,4.780000000000001,73.90322580645162,54.70967741935484,14848,ILLINOIS,ADAMS,152.0,59.0,44.0
4,"ADAMS, ILLINOIS",2002,August,5.31,84.61290322580645,65.48387096774194,13546,ILLINOIS,ADAMS,146.0,57.0,48.0
5,"ADAMS, ILLINOIS",2002,July,5.680000000000001,88.54838709677419,68.61290322580645,13546,ILLINOIS,ADAMS,146.0,57.0,48.0
6,"ADAMS, ILLINOIS",2002,June,3.41,84.48275862068965,64.96551724137932,13546,ILLINOIS,ADAMS,146.0,57.0,48.0
7,"ADAMS, ILLINOIS",2002,May,8.44,69.70967741935483,49.83870967741935,13546,ILLINOIS,ADAMS,146.0,57.0,48.0
8,"ADAMS, ILLINOIS",2003,August,4.529999999999999,85.6774193548387,65.74193548387096,12245,ILLINOIS,ADAMS,171.0,70.0,44.0
9,"ADAMS, ILLINOIS",2003,July,4.869999999999999,85.64516129032258,64.93548387096774,12245,ILLINOIS,ADAMS,171.0,70.0,44.0
10,"ADAMS, ILLINOIS",2003,June,3.7399999999999998,78.76666666666667,58.666666666666664,12245,ILLINOIS,ADAMS,171.0,70.0,44.0
11,"ADAMS, ILLINOIS",2003,May,2.3800000000000003,71.25806451612904,51.483870967741936,12245,ILLINOIS,ADAMS,171.0,70.0,44.0
12,"ADAMS, ILLINOIS",2004,August,10.74,79.45161290322581,58.58064516129032,10877,ILLINOIS,ADAMS,195.0,59.0,49.0
13,"ADAMS, ILLINOIS",2004,July,2.21,82.19354838709677,64.3225806451613,10877,ILLINOIS,ADAMS,195.0,59.0,49.0
14,"ADAMS, ILLINOIS",2004,June,2.41,78.6,60.0,10877,ILLINOIS,ADAMS,195.0,59.0,49.0
15,"ADAMS, ILLINOIS",2004,May,4.13,75.90322580645162,56.354838709677416,10877,ILLINOIS,ADAMS,195.0,59.0,49.0
16,"ADAMS, ILLINOIS",2005,August,4.01,87.19354838709677,66.03225806451613,9775,ILLINOIS,ADAMS,129.0,58.0,43.0
17,"ADAMS, ILLINOIS",2005,July,0.69,89.19354838709677,65.93548387096774,9775,ILLINOIS,ADAMS,129.0,58.0,43.0
18,"ADAMS, ILLINOIS",2005,June,2.6499999999999995,86.3,64.33333333333333,9775,ILLINOIS,ADAMS,129.0,58.0,43.0
19,"ADAMS, ILLINOIS",2005,May,1.07,73.48387096774194,51.0,9775,ILLINOIS,ADAMS,129.0,58.0,43.0
20,"ADAMS, ILLINOIS",2006,August,3.9399999999999995,85.48387096774194,66.06451612903226,8576,ILLINOIS,ADAMS,129.0,68.0,43.0
21,"ADAMS, ILLINOIS",2006,July,2.0999999999999996,90.09677419354838,67.74193548387096,8576,ILLINOIS,ADAMS,129.0,68.0,43.0
22,"ADAMS, ILLINOIS",2006,June,3.6299999999999994,81.8,61.833333333333336,8576,ILLINOIS,ADAMS,129.0,68.0,43.0
23,"ADAMS, ILLINOIS",2006,May,1.36,72.6774193548387,53.32258064516129,8576,ILLINOIS,ADAMS,129.0,68.0,43.0
24,"ADAMS, ILLINOIS",2007,August,2.5,91.0,68.70967741935483,7016,ILLINOIS,ADAMS,162.0,63.0,37.0
25,"ADAMS, ILLINOIS",2007,July,0.7600000000000001,85.19354838709677,63.70967741935484,7016,ILLINOIS,ADAMS,162.0,63.0,37.0
26,"ADAMS, ILLINOIS",2007,June,3.92,82.56666666666666,63.03333333333333,7016,ILLINOIS,ADAMS,162.0,63.0,37.0
27,"ADAMS, ILLINOIS",2007,May,1.6700000000000002,77.38709677419355,57.61290322580645,7016,ILLINOIS,ADAMS,162.0,63.0,37.0
28,"ADAMS, ILLINOIS",2008,August,2.29,82.51612903225806,62.83870967741935,6485,ILLINOIS,ADAMS,171.0,,41.0
29,"ADAMS, ILLINOIS",2008,July,6.47,84.74193548387096,65.83870967741936,6485,ILLINOIS,ADAMS,171.0,,41.0
30,"ADAMS, ILLINOIS",2008,June,9.8,82.5,63.2,6485,ILLINOIS,ADAMS,171.0,,41.0
31,"ADAMS, ILLINOIS",2008,May,4.38,69.90322580645162,49.903225806451616,6485,ILLINOIS,ADAMS,171.0,,41.0
32,"ADAMS, ILLINOIS",2009,August,8.54,80.16129032258064,62.0,5931,ILLINOIS,ADAMS,172.0,,47.0
33,"ADAMS, ILLINOIS",2009,July,3.0799999999999996,80.38709677419355,62.16129032258065,5931,ILLINOIS,ADAMS,172.0,,47.0
34,"ADAMS, ILLINOIS",2009,June,3.589999999999999,82.73333333333333,63.9,5931,ILLINOIS,ADAMS,172.0,,47.0
35,"ADAMS, ILLINOIS",2009,May,5.23,73.58064516129032,52.83870967741935,5931,ILLINOIS,ADAMS,172.0,,47.0
36,"ADAMS, ILLINOIS",2010,August,3.1100000000000003,87.75,68.10714285714286,5358,ILLINOIS,ADAMS,121.9,,48.7
37,"ADAMS, ILLINOIS",2010,July,9.349999999999998,86.6774193548387,69.58064516129032,5358,ILLINOIS,ADAMS,121.9,,48.7
38,"ADAMS, ILLINOIS",2010,June,7.670000000000002,84.76666666666667,66.5,5358,ILLINOIS,ADAMS,121.9,,48.7
39,"ADAMS, ILLINOIS",2010,May,4.22,72.70967741935483,54.16129032258065,5358,ILLINOIS,ADAMS,121.9,,48.7
40,"ADAMS, ILLINOIS",2011,August,0.21000000000000002,88.76666666666667,65.66666666666667,4778,ILLINOIS,ADAMS,135.8,,41.4
41,"ADAMS, ILLINOIS",2011,July,0.98,90.83870967741936,72.51612903225806,4778,ILLINOIS,ADAMS,135.8,,41.4
42,"ADAMS, ILLINOIS",2011,June,11.850000000000001,81.93333333333334,64.1,4778,ILLINOIS,ADAMS,135.8,,41.4
43,"ADAMS, ILLINOIS",2011,May,4.7,72.41935483870968,53.096774193548384,4778,ILLINOIS,ADAMS,135.8,,41.4
44,"ADAMS, ILLINOIS",2012,August,5.970000000000001,87.66666666666667,62.5,4201,ILLINOIS,ADAMS,76.0,,40.7
45,"ADAMS, ILLINOIS",2012,July,1.42,96.45161290322581,70.87096774193549,4201,ILLINOIS,ADAMS,76.0,,40.7
46,"ADAMS, ILLINOIS",2012,June,0.72,87.3,62.36666666666667,4201,ILLINOIS,ADAMS,76.0,,40.7
47,"ADAMS, ILLINOIS",2012,May,1.3300000000000003,80.12903225806451,57.903225806451616,4201,ILLINOIS,ADAMS,76.0,,40.7
48,"ADAMS, ILLINOIS",2013,August,0.01,86.41935483870968,63.96774193548387,3616,ILLINOIS,ADAMS,153.3,,43.6
49,"ADAMS, ILLINOIS",2013,July,1.1,85.12903225806451,64.12903225806451,3616,ILLINOIS,ADAMS,153.3,,43.6
50,"ADAMS, ILLINOIS",2013,June,1.7999999999999998,82.1,63.96666666666667,3616,ILLINOIS,ADAMS,153.3,,43.6
51,"ADAMS, ILLINOIS",2013,May,11.39,72.87096774193549,53.96774193548387,3616,ILLINOIS,ADAMS,153.3,,43.6
52,"ADAMS, ILLINOIS",2014,August,6.169999999999999,83.16129032258064,67.03225806451613,2976,ILLINOIS,ADAMS,202.4,,50.7
53,"ADAMS, ILLINOIS",2014,July,2.89,80.51612903225806,61.45161290322581,2976,ILLINOIS,ADAMS,202.4,,50.7
54,"ADAMS, ILLINOIS",2014,June,8.15,82.4,64.7,2976,ILLINOIS,ADAMS,202.4,,50.7
55,"ADAMS, ILLINOIS",2014,May,2.16,75.16129032258064,55.064516129032256,2976,ILLINOIS,ADAMS,202.4,,50.7
56,"ADAMS, ILLINOIS",2015,August,2.13,83.03225806451613,63.03225806451613,2402,ILLINOIS,ADAMS,158.1,,52.1
57,"ADAMS, ILLINOIS",2015,July,9.42,84.06666666666666,66.7,2402,ILLINOIS,ADAMS,158.1,,52.1
58,"ADAMS, ILLINOIS",2015,June,8.53,81.44827586206897,64.48275862068965,2402,ILLINOIS,ADAMS,158.1,,52.1
59,"ADAMS, ILLINOIS",2015,May,3.9899999999999998,74.16129032258064,56.096774193548384,2402,ILLINOIS,ADAMS,158.1,,52.1
60,"ADAMS, ILLINOIS",2016,August,7.289999999999999,84.09677419354838,67.38709677419355,1826,ILLINOIS,ADAMS,193.1,,56.8
61,"ADAMS, ILLINOIS",2016,July,6.699999999999999,85.58064516129032,67.58064516129032,1826,ILLINOIS,ADAMS,193.1,,56.8
62,"ADAMS, ILLINOIS",2016,June,1.02,88.13333333333334,65.3,1826,ILLINOIS,ADAMS,193.1,,56.8
63,"ADAMS, ILLINOIS",2016,May,3.64,72.58064516129032,52.806451612903224,1826,ILLINOIS,ADAMS,193.1,,56.8
64,"ADAMS, ILLINOIS",2017,August,4.31,81.64516129032258,60.645161290322584,1235,ILLINOIS,ADAMS,192.2,,55.9
65,"ADAMS, ILLINOIS",2017,July,1.6300000000000001,89.03225806451613,67.48387096774194,1235,ILLINOIS,ADAMS,192.2,,55.9
66,"ADAMS, ILLINOIS",2017,June,3.43,84.56666666666666,62.766666666666666,1235,ILLINOIS,ADAMS,192.2,,55.9
67,"ADAMS, ILLINOIS",2017,May,4.739999999999998,73.48387096774194,53.193548387096776,1235,ILLINOIS,ADAMS,192.2,,55.9
68,"ADAMS, ILLINOIS",2018,August,4.78,86.45161290322581,66.48387096774194,694,ILLINOIS,ADAMS,197.8,,59.3
69,"ADAMS, ILLINOIS",2018,July,3.51,87.25806451612904,66.0,694,ILLINOIS,ADAMS,197.8,,59.3
70,"ADAMS, ILLINOIS",2018,June,2.11,87.66666666666667,66.83333333333333,694,ILLINOIS,ADAMS,197.8,,59.3
71,"ADAMS, ILLINOIS",2018,May,1.5699999999999998,83.58064516129032,62.16129032258065,694,ILLINOIS,ADAMS,197.8,,59.3
72,"ADAMS, ILLINOIS",2019,August,6.07,82.29032258064517,64.90322580645162,141,ILLINOIS,ADAMS,168.1,,49.8
73,"ADAMS, ILLINOIS",2019,July,1.56,88.3225806451613,68.90322580645162,141,ILLINOIS,ADAMS,168.1,,49.8
74,"ADAMS, ILLINOIS",2019,June,3.8699999999999997,81.7,63.3,141,ILLINOIS,ADAMS,168.1,,49.8
75,"ADAMS, ILLINOIS",2019,May,6.920000000000001,72.48387096774194,53.935483870967744,141,ILLINOIS,ADAMS,168.1,,49.8
76,"CHAMPAIGN, ILLINOIS",2000,August,0.56,83.70967741935483,62.16129032258065,16077,ILLINOIS,CHAMPAIGN,145.0,,47.0
77,"CHAMPAIGN, ILLINOIS",2000,July,2.24,81.83333333333333,61.93333333333333,16077,ILLINOIS,CHAMPAIGN,145.0,,47.0
78,"CHAMPAIGN, ILLINOIS",2000,June,4.760000000000001,80.16666666666667,59.8,16077,ILLINOIS,CHAMPAIGN,145.0,,47.0
79,"CHAMPAIGN, ILLINOIS",2000,May,3.8699999999999997,75.6774193548387,53.16129032258065,16077,ILLINOIS,CHAMPAIGN,145.0,,47.0
80,"CHAMPAIGN, ILLINOIS",2001,August,5.33,83.70967741935483,61.61290322580645,14779,ILLINOIS,CHAMPAIGN,153.0,,46.0
81,"CHAMPAIGN, ILLINOIS",2001,July,2.66,85.2258064516129,62.806451612903224,14779,ILLINOIS,CHAMPAIGN,153.0,,46.0
82,"CHAMPAIGN, ILLINOIS",2001,June,2.5899999999999994,80.3,57.96666666666667,14779,ILLINOIS,CHAMPAIGN,153.0,,46.0
83,"CHAMPAIGN, ILLINOIS",2001,May,2.92,76.45161290322581,52.03225806451613,14779,ILLINOIS,CHAMPAIGN,153.0,,46.0
84,"CHAMPAIGN, ILLINOIS",2002,August,6.319999999999999,82.58064516129032,64.25806451612904,13477,ILLINOIS,CHAMPAIGN,142.0,,54.0
85,"CHAMPAIGN, ILLINOIS",2002,July,4.28,88.16666666666667,67.13333333333334,13477,ILLINOIS,CHAMPAIGN,142.0,,54.0
86,"CHAMPAIGN, ILLINOIS",2002,June,2.7600000000000002,85.3,62.6,13477,ILLINOIS,CHAMPAIGN,142.0,,54.0
87,"CHAMPAIGN, ILLINOIS",2002,May,6.609999999999999,70.06451612903226,46.70967741935484,13477,ILLINOIS,CHAMPAIGN,142.0,,54.0
88,"CHAMPAIGN, ILLINOIS",2003,August,5.52,83.90322580645162,62.774193548387096,12176,ILLINOIS,CHAMPAIGN,185.0,94.0,38.0
89,"CHAMPAIGN, ILLINOIS",2003,July,5.439999999999999,83.48387096774194,63.064516129032256,12176,ILLINOIS,CHAMPAIGN,185.0,94.0,38.0
90,"CHAMPAIGN, ILLINOIS",2003,June,3.5799999999999996,78.2,55.766666666666666,12176,ILLINOIS,CHAMPAIGN,185.0,94.0,38.0
91,"CHAMPAIGN, ILLINOIS",2003,May,4.42,71.6774193548387,50.193548387096776,12176,ILLINOIS,CHAMPAIGN,185.0,94.0,38.0
92,"CHAMPAIGN, ILLINOIS",2004,August,2.94,77.90322580645162,55.903225806451616,10808,ILLINOIS,CHAMPAIGN,181.0,75.0,53.0
93,"CHAMPAIGN, ILLINOIS",2004,July,3.349999999999999,80.8,61.833333333333336,10808,ILLINOIS,CHAMPAIGN,181.0,75.0,53.0
94,"CHAMPAIGN, ILLINOIS",2004,June,3.4299999999999993,80.23333333333333,58.666666666666664,10808,ILLINOIS,CHAMPAIGN,181.0,75.0,53.0
95,"CHAMPAIGN, ILLINOIS",2004,May,5.27,77.09677419354838,55.87096774193548,10808,ILLINOIS,CHAMPAIGN,181.0,75.0,53.0
96,"CHAMPAIGN, ILLINOIS",2005,August,3.11,84.2,63.46666666666667,9706,ILLINOIS,CHAMPAIGN,164.0,76.0,54.0
97,"CHAMPAIGN, ILLINOIS",2005,July,2.9099999999999997,84.8,63.9,9706,ILLINOIS,CHAMPAIGN,164.0,76.0,54.0
98,"CHAMPAIGN, ILLINOIS",2005,June,2.5799999999999996,85.60714285714286,63.714285714285715,9706,ILLINOIS,CHAMPAIGN,164.0,76.0,54.0
99,"CHAMPAIGN, ILLINOIS",2005,May,1.1,75.0,47.354838709677416,9706,ILLINOIS,CHAMPAIGN,164.0,76.0,54.0
100,"CHAMPAIGN, ILLINOIS",2006,August,3.3099999999999996,80.38461538461539,63.61538461538461,8507,ILLINOIS,CHAMPAIGN,180.0,89.0,55.0
101,"CHAMPAIGN, ILLINOIS",2006,July,5.64,85.48148148148148,65.29629629629629,8507,ILLINOIS,CHAMPAIGN,180.0,89.0,55.0
102,"CHAMPAIGN, ILLINOIS",2006,June,1.4900000000000002,82.06896551724138,59.689655172413794,8507,ILLINOIS,CHAMPAIGN,180.0,89.0,55.0
103,"CHAMPAIGN, ILLINOIS",2006,May,3.3799999999999994,72.6,50.43333333333333,8507,ILLINOIS,CHAMPAIGN,180.0,89.0,55.0
104,"CHAMPAIGN, ILLINOIS",2007,August,1.53,87.74193548387096,62.58064516129032,6947,ILLINOIS,CHAMPAIGN,188.0,58.0,55.0
105,"CHAMPAIGN, ILLINOIS",2007,July,3.0999999999999996,82.12903225806451,58.70967741935484,6947,ILLINOIS,CHAMPAIGN,188.0,58.0,55.0
106,"CHAMPAIGN, ILLINOIS",2007,June,3.7400000000000007,83.65517241379311,60.41379310344828,6947,ILLINOIS,CHAMPAIGN,188.0,58.0,55.0
107,"CHAMPAIGN, ILLINOIS",2007,May,1.3599999999999999,81.26666666666667,54.766666666666666,6947,ILLINOIS,CHAMPAIGN,188.0,58.0,55.0
108,"CHAMPAIGN, ILLINOIS",2008,August,0.76,81.61290322580645,59.70967741935484,6416,ILLINOIS,CHAMPAIGN,176.0,,50.0
109,"CHAMPAIGN, ILLINOIS",2008,July,6.93,84.03225806451613,56.41935483870968,6416,ILLINOIS,CHAMPAIGN,176.0,,50.0
110,"CHAMPAIGN, ILLINOIS",2008,June,7.109999999999998,84.76666666666667,60.166666666666664,6416,ILLINOIS,CHAMPAIGN,176.0,,50.0
111,"CHAMPAIGN, ILLINOIS",2008,May,5.459999999999999,69.45161290322581,47.483870967741936,6416,ILLINOIS,CHAMPAIGN,176.0,,50.0
112,"CHAMPAIGN, ILLINOIS",2009,August,4.289999999999999,79.58064516129032,58.064516129032256,5862,ILLINOIS,CHAMPAIGN,190.0,,56.0
113,"CHAMPAIGN, ILLINOIS",2009,July,5.419999999999998,78.35483870967742,59.67741935483871,5862,ILLINOIS,CHAMPAIGN,190.0,,56.0
114,"CHAMPAIGN, ILLINOIS",2009,June,2.6599999999999997,83.03571428571429,62.642857142857146,5862,ILLINOIS,CHAMPAIGN,190.0,,56.0
115,"CHAMPAIGN, ILLINOIS",2009,May,4.81,73.29032258064517,49.645161290322584,5862,ILLINOIS,CHAMPAIGN,190.0,,56.0
116,"CHAMPAIGN, ILLINOIS",2010,August,2.1399999999999997,88.12903225806451,64.80645161290323,5291,ILLINOIS,CHAMPAIGN,169.5,,56.2
117,"CHAMPAIGN, ILLINOIS",2010,July,3.8300000000000005,87.0,67.0,5291,ILLINOIS,CHAMPAIGN,169.5,,56.2
118,"CHAMPAIGN, ILLINOIS",2010,June,8.81,84.33333333333333,63.06666666666667,5291,ILLINOIS,CHAMPAIGN,169.5,,56.2
119,"CHAMPAIGN, ILLINOIS",2010,May,3.1799999999999993,75.83870967741936,53.45161290322581,5291,ILLINOIS,CHAMPAIGN,169.5,,56.2
120,"CHAMPAIGN, ILLINOIS",2011,August,0.48000000000000004,86.51724137931035,61.172413793103445,4710,ILLINOIS,CHAMPAIGN,164.1,,51.6
121,"CHAMPAIGN, ILLINOIS",2011,July,0.8600000000000001,89.51612903225806,69.03225806451613,4710,ILLINOIS,CHAMPAIGN,164.1,,51.6
122,"CHAMPAIGN, ILLINOIS",2011,June,3.4899999999999998,84.22222222222223,63.407407407407405,4710,ILLINOIS,CHAMPAIGN,164.1,,51.6
123,"CHAMPAIGN, ILLINOIS",2011,May,4.34,73.03333333333333,51.96666666666667,4710,ILLINOIS,CHAMPAIGN,164.1,,51.6
124,"CHAMPAIGN, ILLINOIS",2012,August,3.6599999999999997,85.76666666666667,59.166666666666664,4129,ILLINOIS,CHAMPAIGN,108.9,,47.1
125,"CHAMPAIGN, ILLINOIS",2012,July,0.0,93.16666666666667,67.9,4129,ILLINOIS,CHAMPAIGN,108.9,,47.1
126,"CHAMPAIGN, ILLINOIS",2012,June,2.12,84.3,59.4,4129,ILLINOIS,CHAMPAIGN,108.9,,47.1
127,"CHAMPAIGN, ILLINOIS",2012,May,2.3,82.48387096774194,55.83870967741935,4129,ILLINOIS,CHAMPAIGN,108.9,,47.1
128,"CHAMPAIGN, ILLINOIS",2013,August,0.08,82.0,60.411764705882355,3555,ILLINOIS,CHAMPAIGN,168.1,,53.6
129,"CHAMPAIGN, ILLINOIS",2013,July,5.030000000000001,81.0,63.38461538461539,3555,ILLINOIS,CHAMPAIGN,168.1,,53.6
130,"CHAMPAIGN, ILLINOIS",2013,June,4.43,82.23333333333333,61.46666666666667,3555,ILLINOIS,CHAMPAIGN,168.1,,53.6
131,"CHAMPAIGN, ILLINOIS",2013,May,3.7199999999999998,75.56666666666666,53.93333333333333,3555,ILLINOIS,CHAMPAIGN,168.1,,53.6
132,"CHAMPAIGN, ILLINOIS",2014,August,1.7100000000000002,82.12903225806451,64.16129032258064,2907,ILLINOIS,CHAMPAIGN,216.5,,63.8
133,"CHAMPAIGN, ILLINOIS",2014,July,5.979999999999999,79.93548387096774,59.354838709677416,2907,ILLINOIS,CHAMPAIGN,216.5,,63.8
134,"CHAMPAIGN, ILLINOIS",2014,June,6.01,84.06896551724138,63.689655172413794,2907,ILLINOIS,CHAMPAIGN,216.5,,63.8
135,"CHAMPAIGN, ILLINOIS",2014,May,6.64,76.64516129032258,53.61290322580645,2907,ILLINOIS,CHAMPAIGN,216.5,,63.8
136,"CHAMPAIGN, ILLINOIS",2015,August,2.6499999999999995,82.58064516129032,60.29032258064516,2335,ILLINOIS,CHAMPAIGN,189.4,,64.0
137,"CHAMPAIGN, ILLINOIS",2015,July,2.7899999999999996,82.93548387096774,63.54838709677419,2335,ILLINOIS,CHAMPAIGN,189.4,,64.0
138,"CHAMPAIGN, ILLINOIS",2015,June,8.339999999999998,81.37931034482759,63.06896551724138,2335,ILLINOIS,CHAMPAIGN,189.4,,64.0
139,"CHAMPAIGN, ILLINOIS",2015,May,5.59,77.93548387096774,55.58064516129032,2335,ILLINOIS,CHAMPAIGN,189.4,,64.0
140,"CHAMPAIGN, ILLINOIS",2016,August,3.9899999999999998,84.03225806451613,66.29032258064517,1749,ILLINOIS,CHAMPAIGN,210.2,,67.7
141,"CHAMPAIGN, ILLINOIS",2016,July,4.8100000000000005,83.66666666666667,65.56666666666666,1749,ILLINOIS,CHAMPAIGN,210.2,,67.7
142,"CHAMPAIGN, ILLINOIS",2016,June,5.19,85.9,62.733333333333334,1749,ILLINOIS,CHAMPAIGN,210.2,,67.7
143,"CHAMPAIGN, ILLINOIS",2016,May,2.53,73.76666666666667,50.63333333333333,1749,ILLINOIS,CHAMPAIGN,210.2,,67.7
144,"CHAMPAIGN, ILLINOIS",2017,August,1.18,82.16666666666667,58.86666666666667,1166,ILLINOIS,CHAMPAIGN,206.8,,64.3
145,"CHAMPAIGN, ILLINOIS",2017,July,3.1999999999999997,85.96666666666667,65.1,1166,ILLINOIS,CHAMPAIGN,206.8,,64.3
146,"CHAMPAIGN, ILLINOIS",2017,June,1.56,86.27586206896552,61.724137931034484,1166,ILLINOIS,CHAMPAIGN,206.8,,64.3
147,"CHAMPAIGN, ILLINOIS",2017,May,5.49,73.0,51.83870967741935,1166,ILLINOIS,CHAMPAIGN,206.8,,64.3
148,"CHAMPAIGN, ILLINOIS",2018,August,3.5300000000000002,84.45161290322581,64.74193548387096,637,ILLINOIS,CHAMPAIGN,221.3,,67.9
149,"CHAMPAIGN, ILLINOIS",2018,July,5.920000000000001,82.7741935483871,63.54838709677419,637,ILLINOIS,CHAMPAIGN,221.3,,67.9
150,"CHAMPAIGN, ILLINOIS",2018,June,6.989999999999999,84.46666666666667,64.63333333333334,637,ILLINOIS,CHAMPAIGN,221.3,,67.9
151,"CHAMPAIGN, ILLINOIS",2018,May,3.63,84.55172413793103,60.172413793103445,637,ILLINOIS,CHAMPAIGN,221.3,,67.9
152,"CHAMPAIGN, ILLINOIS",2019,August,1.9500000000000002,82.41935483870968,61.645161290322584,90,ILLINOIS,CHAMPAIGN,180.8,,52.8
153,"CHAMPAIGN, ILLINOIS",2019,July,3.8299999999999996,87.26666666666667,66.66666666666667,90,ILLINOIS,CHAMPAIGN,180.8,,52.8
154,"CHAMPAIGN, ILLINOIS",2019,June,3.6499999999999995,83.16666666666667,61.36666666666667,90,ILLINOIS,CHAMPAIGN,180.8,,52.8
155,"CHAMPAIGN, ILLINOIS",2019,May,4.960000000000001,74.03225806451613,53.516129032258064,90,ILLINOIS,CHAMPAIGN,180.8,,52.8
156,"COLES, ILLINOIS",2000,August,5.9399999999999995,82.92,64.24,16086,ILLINOIS,COLES,166.0,69.0,50.0
157,"COLES, ILLINOIS",2000,July,4.07,82.33333333333333,63.77777777777778,16086,ILLINOIS,COLES,166.0,69.0,50.0
158,"COLES, ILLINOIS",2000,June,9.889999999999999,80.1,61.5,16086,ILLINOIS,COLES,166.0,69.0,50.0
159,"COLES, ILLINOIS",2000,May,3.5700000000000003,74.87096774193549,55.064516129032256,16086,ILLINOIS,COLES,166.0,69.0,50.0
160,"COLES, ILLINOIS",2001,August,2.84,85.06451612903226,63.74193548387097,14788,ILLINOIS,COLES,174.0,71.0,50.0
161,"COLES, ILLINOIS",2001,July,4.22,85.29032258064517,64.93548387096774,14788,ILLINOIS,COLES,174.0,71.0,50.0
162,"COLES, ILLINOIS",2001,June,3.1599999999999997,80.06666666666666,60.233333333333334,14788,ILLINOIS,COLES,174.0,71.0,50.0
163,"COLES, ILLINOIS",2001,May,3.6599999999999997,75.51612903225806,54.87096774193548,14788,ILLINOIS,COLES,174.0,71.0,50.0
164,"COLES, ILLINOIS",2002,August,2.999999999999999,84.93333333333334,65.06666666666666,13486,ILLINOIS,COLES,131.0,,43.0
165,"COLES, ILLINOIS",2002,July,2.29,89.29032258064517,67.87096774193549,13486,ILLINOIS,COLES,131.0,,43.0
166,"COLES, ILLINOIS",2002,June,3.18,84.73333333333333,61.8,13486,ILLINOIS,COLES,131.0,,43.0
167,"COLES, ILLINOIS",2002,May,12.57,70.16129032258064,48.935483870967744,13486,ILLINOIS,COLES,131.0,,43.0
168,"COLES, ILLINOIS",2003,August,1.25,86.26666666666667,64.16666666666667,12185,ILLINOIS,COLES,170.0,83.0,47.0
169,"COLES, ILLINOIS",2003,July,4.639999999999999,85.38709677419355,65.0,12185,ILLINOIS,COLES,170.0,83.0,47.0
170,"COLES, ILLINOIS",2003,June,2.24,78.7,58.0,12185,ILLINOIS,COLES,170.0,83.0,47.0
171,"COLES, ILLINOIS",2003,May,4.779999999999999,71.90322580645162,51.774193548387096,12185,ILLINOIS,COLES,170.0,83.0,47.0
172,"COLES, ILLINOIS",2004,August,3.6999999999999997,79.74193548387096,58.67741935483871,10817,ILLINOIS,COLES,183.0,59.0,54.0
173,"COLES, ILLINOIS",2004,July,5.7700000000000005,81.87096774193549,63.83870967741935,10817,ILLINOIS,COLES,183.0,59.0,54.0
174,"COLES, ILLINOIS",2004,June,1.99,80.56666666666666,60.166666666666664,10817,ILLINOIS,COLES,183.0,59.0,54.0
175,"COLES, ILLINOIS",2004,May,6.1499999999999995,76.16129032258064,58.225806451612904,10817,ILLINOIS,COLES,183.0,59.0,54.0
176,"COLES, ILLINOIS",2005,August,2.5199999999999996,85.46666666666667,65.96666666666667,9715,ILLINOIS,COLES,149.0,64.0,51.0
177,"COLES, ILLINOIS",2005,July,3.66,87.29032258064517,65.51612903225806,9715,ILLINOIS,COLES,149.0,64.0,51.0
178,"COLES, ILLINOIS",2005,June,0.49,85.65517241379311,64.10344827586206,9715,ILLINOIS,COLES,149.0,64.0,51.0
179,"COLES, ILLINOIS",2005,May,1.38,73.87096774193549,49.67741935483871,9715,ILLINOIS,COLES,149.0,64.0,51.0
180,"COLES, ILLINOIS",2006,August,2.2199999999999998,84.0,64.25806451612904,8516,ILLINOIS,COLES,168.0,68.0,51.0
181,"COLES, ILLINOIS",2006,July,3.9,86.80645161290323,67.25806451612904,8516,ILLINOIS,COLES,168.0,68.0,51.0
182,"COLES, ILLINOIS",2006,June,1.9800000000000002,82.76666666666667,61.96666666666667,8516,ILLINOIS,COLES,168.0,68.0,51.0
183,"COLES, ILLINOIS",2006,May,3.04,71.6774193548387,53.61290322580645,8516,ILLINOIS,COLES,168.0,68.0,51.0
184,"COLES, ILLINOIS",2007,August,2.67,90.29032258064517,58.70967741935484,6956,ILLINOIS,COLES,181.0,56.0,53.0
185,"COLES, ILLINOIS",2007,July,3.0199999999999996,83.61290322580645,61.806451612903224,6956,ILLINOIS,COLES,181.0,56.0,53.0
186,"COLES, ILLINOIS",2007,June,2.8200000000000003,84.93333333333334,58.93333333333333,6956,ILLINOIS,COLES,181.0,56.0,53.0
187,"COLES, ILLINOIS",2007,May,1.01,78.93333333333334,56.93333333333333,6956,ILLINOIS,COLES,181.0,56.0,53.0
188,"COLES, ILLINOIS",2008,August,0.7,83.09677419354838,56.54838709677419,6425,ILLINOIS,COLES,170.0,,50.0
189,"COLES, ILLINOIS",2008,July,5.909999999999999,84.09677419354838,55.67741935483871,6425,ILLINOIS,COLES,170.0,,50.0
